[10:18:57] Входящий | Сервер запущен | System | Status: 200
[10:19:01] Входящий | GET | http://localhost:8080/ | Status: 200
[10:19:08] Входящий | POST | http://localhost:8080/ | Status: 200
[10:19:15] Входящий | GET | http://localhost:8080/ | Status: 200
[10:22:22] Входящий | Сервер запущен | System | Status: 200
[10:22:25] Входящий | GET | http://localhost:8080/ | Status: 200
[10:22:26] Входящий | GET | http://localhost:8080/ | Status: 200
[10:22:27] Входящий | GET | http://localhost:8080/ | Status: 200
[10:22:28] Входящий | GET | http://localhost:8080/ | Status: 200
[10:22:28] Входящий | GET | http://localhost:8080/ | Status: 200
[10:22:28] Входящий | GET | http://localhost:8080/ | Status: 200
[10:22:28] Входящий | GET | http://localhost:8080/ | Status: 200
[10:22:28] Входящий | GET | http://localhost:8080/ | Status: 200
[10:22:28] Входящий | GET | http://localhost:8080/ | Status: 200
[10:22:29] Входящий | GET | http://localhost:8080/ | Status: 200
[10:22:29] Входящий | GET | http://localhost:8080/ | Status: 200
[10:22:29] Входящий | GET | http://localhost:8080/ | Status: 200
[10:22:29] Входящий | GET | http://localhost:8080/ | Status: 200
[10:22:29] Входящий | GET | http://localhost:8080/ | Status: 200
[10:22:29] Входящий | GET | http://localhost:8080/ | Status: 200
[10:22:29] Входящий | GET | http://localhost:8080/ | Status: 200
[10:22:29] Входящий | GET | http://localhost:8080/ | Status: 200
[10:22:30] Входящий | GET | http://localhost:8080/ | Status: 200
[10:22:30] Входящий | GET | http://localhost:8080/ | Status: 200
[10:22:30] Входящий | GET | http://localhost:8080/ | Status: 200
[10:22:30] Входящий | GET | http://localhost:8080/ | Status: 200
[10:22:30] Входящий | GET | http://localhost:8080/ | Status: 200
[10:22:32] Входящий | GET | http://localhost:8080/ | Status: 200
[10:22:33] Входящий | GET | http://localhost:8080/ | Status: 200
[10:22:33] Входящий | GET | http://localhost:8080/ | Status: 200
[10:22:35] Входящий | GET | http://localhost:8080/ | Status: 200
[10:22:37] Входящий | POST | http://localhost:8080/ | Status: 200
[10:22:41] Входящий | Сервер остановлен | System | Status: 0
[10:41:56] Входящий | Сервер запущен | System | Status: 200
[10:41:57] Входящий | POST | http://localhost:8080/ | Status: 200
[10:42:02] Входящий | POST | http://localhost:8080/ | Status: 200
[10:42:12] Входящий | GET | http://localhost:8080/ | Status: 200
[10:42:25] Входящий | GET | http://localhost:8080/ | Status: 200
[10:42:27] Входящий | GET | http://localhost:8080/ | Status: 200
[10:42:28] Входящий | GET | http://localhost:8080/ | Status: 200
[10:42:28] Входящий | GET | http://localhost:8080/ | Status: 200
[10:42:28] Входящий | GET | http://localhost:8080/ | Status: 200
[10:42:28] Входящий | GET | http://localhost:8080/ | Status: 200
[10:42:28] Входящий | GET | http://localhost:8080/ | Status: 200
[10:42:28] Входящий | GET | http://localhost:8080/ | Status: 200
[10:42:29] Входящий | GET | http://localhost:8080/ | Status: 200
[10:42:29] Входящий | GET | http://localhost:8080/ | Status: 200
[10:43:23] Входящий | Сервер остановлен | System | Status: 0
